algorithm,mentor_size,mentee_size,size_label,validity_percentage,avg_similarity_score,execution_time,total_matches,valid_matches,total_dataset_size,overall_execution_time
Euclidean,500,1000,Small (500/1000),89.52199999999998,90.1734809785364,6.951930379867553,1000.0,895.22,1500,35.30245494842529
Euclidean,1000,2000,Medium (1000/2000),92.54549999999999,92.11391943351046,12.032400455474853,2000.0,1850.91,3000,57.983139514923096
Euclidean,2000,4000,Large (2000/4000),95.6715,93.10243551236798,30.31543221950531,4000.0,3826.86,6000,150.06782865524292
Euclidean,4000,4000,Max Equal (4000/4000),99.68699999999998,95.14989436073066,16.578925325870514,4000.0,3987.48,8000,78.37212681770325
KMeans,500,1000,Small (500/1000),65.32266245235783,81.46599334241044,25.886601798534393,997.29,651.44,1500,117.86035180091858
KMeans,1000,2000,Medium (1000/2000),74.58090277784746,84.12777562705742,54.12814769506454,1999.66,1491.36,3000,243.81440567970276
KMeans,2000,4000,Large (2000/4000),83.33949785352874,86.44182832289225,135.61977986335754,3999.71,3333.33,6000,599.4664478302002
KMeans,4000,4000,Max Equal (4000/4000),88.7835,88.79235463519797,121.74072691679001,4000.0,3551.34,8000,535.7779538631439
GA,500,1000,Small (500/1000),99.99611760895925,93.42985017525872,1855.9782871174812,522.13,522.11,1500,8238.002665996552
GA,1000,2000,Medium (1000/2000),99.99709732826655,93.89310031222605,3641.7669993972777,1017.22,1017.19,3000,16170.161883831024
GA,2000,4000,Large (2000/4000),100.0,94.46187621821862,7245.159689233303,1987.86,1987.86,6000,32185.06954240799
GA,4000,4000,Max Equal (4000/4000),100.0,95.450776581276,9610.27336987257,2677.07,2677.07,8000,42581.001866579056
DAcceptance,500,1000,Small (500/1000),98.461,69.02116807067281,194.8850638818741,1000.0,984.61,1500,858.1815102100372
DAcceptance,1000,2000,Medium (1000/2000),99.14000000000001,71.18429945626818,1073.1004996180534,2000.0,1982.8,3000,4671.201634645462
DAcceptance,2000,4000,Large (2000/4000),99.44024999999998,72.81171852623145,7557.480570764542,4000.0,3977.61,6000,32758.341897964478
DAcceptance,4000,4000,Max Equal (4000/4000),100.0,76.21047392179536,15317.984701578616,4000.0,4000.0,8000,66472.85338258743
