validity_percentage,valid_matches,total_matches,avg_similarity_score,execution_time,iteration
100.0,1941,1941,94.52093440315639,7401.419076919556,0
100.0,1994,1994,94.48635635382206,7515.850604534149,1
100.0,2038,2038,94.43379917623281,7581.613086700439,2
100.0,1985,1985,94.4911676318341,7389.4465317726135,3
100.0,2046,2046,94.42538210273688,2292.628774166107,4
100.0,2076,2076,94.37287457188823,7606.170473575592,0
100.0,2009,2009,94.50145786706524,7563.277447223663,1
100.0,1979,1979,94.45904658427943,7501.711314201355,2
100.0,1989,1989,94.46429487532326,7280.6247634887695,3
100.0,1894,1894,94.5715092551747,2193.133900165558,4
100.0,2003,2003,94.44996711070208,7554.5594227313995,0
100.0,1962,1962,94.49411181607874,7405.298863649368,1
100.0,1992,1992,94.44694910071796,7547.625716209412,2
100.0,1982,1982,94.48502288066169,7378.278428077698,3
100.0,1964,1964,94.42247236326534,2247.3670501708984,4
100.0,1901,1901,94.5089452952529,7320.944579601288,0
100.0,1991,1991,94.47793234078513,7419.009799480438,1
100.0,1977,1977,94.4441211396007,7428.252680778503,2
100.0,1926,1926,94.49312758427058,7455.200420618057,3
100.0,1967,1967,94.44308693832222,2358.5659532546997,4
100.0,1975,1975,94.49063939594646,7424.242802143097,0
100.0,1927,1927,94.46251686759382,7374.050691604614,1
100.0,1966,1966,94.50806144119717,7385.30987238884,2
100.0,1978,1978,94.4901935765415,7370.128177165985,3
100.0,1944,1944,94.50959476053048,7435.792462587357,0
100.0,1978,1978,94.53320066448146,7393.058731079102,1
100.0,1964,1964,94.50641647820358,7401.600146770477,2
100.0,1998,1998,94.45073348526006,7512.737313508987,3
100.0,2042,2042,94.43543832263269,7613.712541103363,0
100.0,2006,2006,94.44122339154808,7493.133281469345,1
100.0,2002,2002,94.43713884222406,7437.694977521896,2
100.0,2007,2007,94.44219111827114,7346.229450464249,3
100.0,1994,1994,94.42609445354528,7560.877707004547,0
100.0,2002,2002,94.42516197226047,7530.140851736069,1
100.0,1947,1947,94.46656834393153,7339.27432012558,2
100.0,1976,1976,94.50157603322874,7316.527884483337,3
100.0,2033,2033,94.4564015999401,7589.628139257431,0
100.0,2003,2003,94.47411147266902,7528.450250864029,1
100.0,2061,2061,94.40175554556616,7731.082597732544,2
100.0,1999,1999,94.45508208598483,7165.131547689438,3
100.0,2059,2059,94.42849741264907,7502.884010314941,0
100.0,2008,2008,94.4587232274097,7448.98609495163,1
100.0,1976,1976,94.4314067666002,7559.546371936798,2
100.0,1900,1900,94.50549467285737,7330.6925530433655,3
100.0,1980,1980,94.47741682771888,7483.657578706741,0
100.0,1967,1967,94.46553980962733,7509.181478977203,1
100.0,1955,1955,94.50218683825314,7472.2341413497925,2
100.0,2054,2054,94.39270693794856,7455.824914455414,3
100.0,2009,2009,94.47072889591526,7415.9091165065765,0
100.0,1973,1973,94.49512982753554,7400.306646108627,1
100.0,1981,1981,94.42969800797793,7468.450253725052,2
100.0,1977,1977,94.46072770078584,7416.451432228088,3
100.0,2003,2003,94.4551443978022,7491.050649881363,0
100.0,1949,1949,94.44874224811998,7403.329102039337,1
100.0,1942,1942,94.48847404756656,7393.191121339798,2
100.0,1989,1989,94.50657282191081,7371.461941242218,3
100.0,1926,1926,94.47486732972207,7442.247398614883,0
100.0,2010,2010,94.42082800514666,7497.818052768707,1
100.0,1984,1984,94.4865568063445,7427.590985059738,2
100.0,2022,2022,94.4845980413441,7436.1020357608795,3
100.0,1976,1976,94.43340890571027,7472.73962020874,0
100.0,1951,1951,94.4818148158376,7358.301740407944,1
100.0,1966,1966,94.4664271482365,7482.434878110886,2
100.0,1971,1971,94.47345605293833,7397.058511257172,3
100.0,2051,2051,94.37623584924918,7631.301287651062,0
100.0,1977,1977,94.45571410233299,7539.275404214859,1
100.0,2037,2037,94.41612682514337,7545.085421085358,2
100.0,2033,2033,94.39955206462061,7285.643070697784,3
100.0,1926,1926,94.47000070586348,7377.2749536037445,0
100.0,1999,1999,94.49405941867899,7464.234569072723,1
100.0,2011,2011,94.44713059689802,7547.071446895599,2
100.0,2011,2011,94.44952392567494,7427.88517332077,3
100.0,1968,1968,94.48627666906344,7366.589142084122,0
100.0,2076,2076,94.4375397127401,7590.017449855804,1
100.0,1966,1966,94.50782279852629,7361.462249040604,2
100.0,2056,2056,94.44783999546847,7527.11404800415,3
100.0,2022,2022,94.43784636082799,7470.94909119606,0
100.0,1979,1979,94.43181205754142,7440.109774589539,1
100.0,1984,1984,94.42063171887138,7457.688786506653,2
100.0,1935,1935,94.48219336514279,7320.889008760452,3
100.0,1968,1968,94.47109794543141,7431.383138895035,0
100.0,2016,2016,94.48471664679538,7405.300806760788,1
100.0,1995,1995,94.44074532018601,7529.803339004517,2
100.0,1941,1941,94.48922514716229,7343.11366891861,3
100.0,2010,2010,94.43990521366436,7545.567729949951,0
100.0,1993,1993,94.48319419143823,7483.362174510956,1
100.0,2059,2059,94.41250976317917,7756.978484392166,2
100.0,1991,1991,94.43271511576701,7198.168865919113,3
100.0,1996,1996,94.48543597312596,7442.068399190903,0
100.0,1935,1935,94.4732511008268,7456.298759460449,1
100.0,1996,1996,94.49089132799286,7494.074980974197,2
100.0,1980,1980,94.47869810345922,7396.011860132217,3
100.0,1913,1913,94.46584494247074,7352.393836259842,0
100.0,1957,1957,94.49212226112154,7392.161704540253,1
100.0,1990,1990,94.45003740952144,7475.670295238495,2
100.0,2021,2021,94.45772091519066,7481.815769195557,3
100.0,2017,2017,94.41421560430592,7660.888622045517,0
100.0,1973,1973,94.47760314035175,7455.220850229263,1
100.0,2060,2060,94.38871699805986,7692.791653394699,2
100.0,1998,1998,94.45286174648471,7143.069844722748,3
