validity_percentage,valid_matches,total_matches,avg_similarity_score,execution_time,iteration
64.20626895854399,635,989,80.35010001387575,23.573807954788208,0
67.86786786786787,678,999,83.11776009329115,24.01086950302124,1
64.36436436436436,643,999,81.24257608860597,24.37519884109497,3
64.4,644,1000,79.9677516452161,24.993555545806885,2
67.10000000000001,671,1000,81.97746115805685,24.787240982055664,5
65.60000000000001,656,1000,82.95879781771495,25.012650966644287,6
65.7,657,1000,81.84346326628756,26.392220497131348,4
67.85350966429297,667,983,81.47360879081212,26.37503671646118,10
67.0020120724346,666,994,81.39368517467686,26.78783130645752,9
66.26139817629179,654,987,82.89862245545606,26.803646087646484,8
65.4,654,1000,81.37261149229022,27.564749240875244,7
66.9,669,1000,83.6247490690032,27.957427263259888,18
68.89564336372847,680,987,82.19151773863884,28.244439840316772,14
67.17171717171718,665,990,83.42242148054976,28.321953058242798,17
67.53507014028057,674,998,82.9224435948529,28.41810894012451,15
66.70020120724345,663,994,82.72012343403735,28.640427350997925,13
67.7,677,1000,81.51761551119688,28.988879680633545,11
65.4308617234469,653,998,81.99834669850155,29.146057844161987,16
63.7,637,1000,80.51353331248696,29.432777404785156,12
65.46546546546547,654,999,82.17635056950586,29.142498016357422,22
63.59077231695085,634,997,80.4181721384074,29.093457460403442,23
62.8,628,1000,82.57557310477893,29.5881450176239,20
65.26104417670683,650,996,81.25685106769484,30.080100536346436,19
62.298387096774185,618,992,82.1606756244627,30.03018879890442,21
66.5,665,1000,81.7627144594312,26.386706113815308,25
68.30000000000001,683,1000,83.66501606801164,26.877994298934937,24
67.97979797979798,673,990,81.31221371121275,25.648942232131958,27
66.73366834170854,664,995,82.20917900305426,25.4076988697052,29
69.3158953722334,689,994,82.02534049056656,27.360586166381836,26
63.800000000000004,638,1000,80.11372846018804,26.901076555252075,28
69.93987975951904,698,998,83.09616246960645,25.5179386138916,31
68.0,680,1000,81.84151937789767,26.484622716903687,30
64.52905811623246,644,998,81.01774267607811,26.294296979904175,33
61.59274193548387,611,992,81.23240391146318,26.9285569190979,32
65.3,653,1000,80.94174311372885,25.850730895996094,35
65.4308617234469,653,998,81.17281877739899,25.977334022521973,36
68.89999999999999,689,1000,82.77562210584001,27.435219287872314,34
62.4,624,1000,79.90891706645367,26.516350269317627,38
67.06948640483384,666,993,82.5259776520913,25.36021327972412,45
63.800000000000004,638,1000,81.20169982261201,26.358375310897827,40
60.627530364372475,599,988,81.94555834647528,26.896687030792236,37
60.699999999999996,607,1000,80.75392031043262,26.944276571273804,39
66.10000000000001,661,1000,81.70803654936773,26.405904293060303,42
61.4,614,1000,80.5104633623428,26.45330548286438,43
63.0,630,1000,80.19390758314569,27.102912187576294,41
64.3,643,1000,80.90271577051689,26.817553520202637,44
62.7,627,1000,81.63391141769534,26.341960906982422,46
63.86386386386387,638,999,81.60363674065378,26.246853590011597,47
65.0,650,1000,81.34480584605029,27.034894943237305,48
65.4,654,1000,79.9340160145869,27.034812450408936,49
64.60000000000001,646,1000,78.65192103351073,26.939889430999756,50
62.4,624,1000,79.6016016685447,26.908892393112183,51
61.89516129032258,614,992,80.7812729326467,26.06910228729248,52
62.525050100200396,624,998,79.54352762313034,26.78273057937622,53
62.7648839556004,622,991,82.47074510527767,26.4187114238739,54
64.09227683049149,639,997,81.28008443950226,25.59409499168396,58
61.4,614,1000,79.96658879007255,26.957297801971436,56
64.1,641,1000,80.4993471108503,27.62296414375305,55
67.1414038657172,660,983,82.58353867845518,26.08540415763855,59
61.9,619,1000,80.7344973150034,27.03611469268799,57
65.99799398194584,658,997,80.78682020315456,26.322651624679565,62
68.7374749498998,686,998,83.39169962333916,25.894927263259888,66
62.1,621,1000,79.88682362294057,26.671238660812378,61
68.36836836836837,683,999,82.98857333344509,26.544447898864746,64
67.9,679,1000,80.96190526074997,25.43577790260315,70
66.36178861788618,653,984,82.21032265067551,27.0515193939209,63
65.4,654,1000,79.6141970360879,27.780489444732666,60
67.16867469879519,669,996,81.93210545555573,26.639533042907715,67
66.0,660,1000,80.07823498158496,27.19385004043579,65
68.7,687,1000,82.5234274361126,26.244089365005493,71
65.0,650,1000,82.45636526310867,26.681912660598755,68
61.7,617,1000,80.96467679101569,27.210850954055786,69
66.93386773547094,668,998,82.2778246704505,26.169514894485474,74
63.46346346346346,634,999,79.62657436165141,26.852155923843384,73
66.2,662,1000,80.12603031715157,26.6291344165802,75
63.1,631,1000,81.41679749999112,27.44014263153076,72
66.2,662,1000,80.1865974578337,25.980605125427246,78
66.2,662,1000,80.17853139425134,27.313182830810547,76
68.7,687,1000,81.96082841919707,27.205846548080444,77
64.16416416416416,641,999,81.14205483589652,25.576982021331787,82
66.5,665,1000,81.67010993441461,26.099842309951782,81
66.86868686868686,662,990,82.21491833037884,26.369693994522095,80
66.93386773547094,668,998,83.38497771977681,26.559654474258423,79
65.2,652,1000,81.08687108501876,25.908583879470825,83
68.4,684,1000,81.26374056513177,25.310333967208862,86
61.523046092184366,614,998,81.7365272635564,25.579506635665894,84
68.03607214428857,679,998,81.91759126114002,24.375890493392944,92
65.02016129032258,645,992,81.60348155159602,24.708800792694092,91
