algorithm,constraint_label,num_constraints,constraints,validity_percentage,avg_similarity_score,execution_time,total_matches,valid_matches,overall_execution_time
Euclidean,Basic (2 constraints),2,"{""max_mentees_per_mentor"": 2, ""min_similarities"": 2}",89.521,90.16783596860039,7.05611371421814,1000.0,895.21,153.29370021820068
Euclidean,Industry Match (3 constraints),3,"{""max_mentees_per_mentor"": 2, ""min_similarities"": 2, ""industry_match"": true}",92.11758360302049,86.2469226484849,20.48323286867142,927.0,853.93,432.76604294776917
Euclidean,Experience & Education (5 constraints),5,"{""max_mentees_per_mentor"": 2, ""min_similarities"": 2, ""industry_match"": true, ""min_experience_gap"": 2, ""education_level"": true}",92.1175836030205,86.24692264848488,20.860041779518127,927.0,853.93,442.0761661529541
Euclidean,Communication & Availability (7 constraints),7,"{""max_mentees_per_mentor"": 2, ""min_similarities"": 2, ""industry_match"": true, ""min_experience_gap"": 2, ""education_level"": true, ""communication_match"": true, ""availability_match"": true}",100.0,81.75283753554392,34.0927840013504,865.0,865.0,718.604745388031
Euclidean,Language & Mentoring (10 constraints),10,"{""max_mentees_per_mentor"": 2, ""min_similarities"": 2, ""industry_match"": true, ""min_experience_gap"": 2, ""education_level"": true, ""communication_match"": true, ""availability_match"": true, ""language_match"": true, ""secondary_language_match"": true, ""mentoring_preferences_match"": true}",100.0,78.94529387358163,96.72591329431533,319.0,319.0,2032.3972480297089
Euclidean,Expertise & Position (15 constraints),15,"{""max_mentees_per_mentor"": 2, ""min_similarities"": 2, ""industry_match"": true, ""min_experience_gap"": 2, ""education_level"": true, ""communication_match"": true, ""availability_match"": true, ""language_match"": true, ""secondary_language_match"": true, ""mentoring_preferences_match"": true, ""expertise_overlap"": true, ""position_progression"": true, ""min_position_level_gap"": 1, ""complementary_roles"": true, ""required_mentor_expertise"": ""Machine Learning""}",0.0,0.0,126.78489910078049,0.0,0.0,2663.448776960373
KMeans,Basic (2 constraints),2,"{""max_mentees_per_mentor"": 2, ""min_similarities"": 2}",65.3043738564847,81.53137502159451,23.854804352760315,997.48,651.38,503.68908977508545
KMeans,Industry Match (3 constraints),3,"{""max_mentees_per_mentor"": 2, ""min_similarities"": 2, ""industry_match"": true}",61.235382955771286,80.09625765450677,31.674199320316315,927.0,567.652,667.8792767524719
KMeans,Experience & Education (5 constraints),5,"{""max_mentees_per_mentor"": 2, ""min_similarities"": 2, ""industry_match"": true, ""min_experience_gap"": 2, ""education_level"": true}",61.235382955771286,80.09625765450677,32.01857773113251,927.0,567.652,675.1903383731842
KMeans,Communication & Availability (7 constraints),7,"{""max_mentees_per_mentor"": 2, ""min_similarities"": 2, ""industry_match"": true, ""min_experience_gap"": 2, ""education_level"": true, ""communication_match"": true, ""availability_match"": true}",54.6892485549133,73.58358926014134,41.90337375926971,865.0,473.062,882.4769878387451
KMeans,Language & Mentoring (10 constraints),10,"{""max_mentees_per_mentor"": 2, ""min_similarities"": 2, ""industry_match"": true, ""min_experience_gap"": 2, ""education_level"": true, ""communication_match"": true, ""availability_match"": true, ""language_match"": true, ""secondary_language_match"": true, ""mentoring_preferences_match"": true}",0.0,0.0,163.38553362083434,0.0,0.0,3432.1595799922943
GA,Basic (2 constraints),2,"{""max_mentees_per_mentor"": 2, ""min_similarities"": 2}",99.99703173761391,93.42275251977877,1889.4887151370049,525.054,525.038,39709.20966076851
GA,Industry Match (3 constraints),3,"{""max_mentees_per_mentor"": 2, ""min_similarities"": 2, ""industry_match"": true}",96.39821420068807,92.15049841922061,1155.8690141162872,415.38,400.418,24313.385645627975
GA,Experience & Education (5 constraints),5,"{""max_mentees_per_mentor"": 2, ""min_similarities"": 2, ""industry_match"": true, ""min_experience_gap"": 2, ""education_level"": true}",95.7971871205805,92.0215577878952,984.9846940016746,385.882,369.668,20768.71971130371
GA,Communication & Availability (7 constraints),7,"{""max_mentees_per_mentor"": 2, ""min_similarities"": 2, ""industry_match"": true, ""min_experience_gap"": 2, ""education_level"": true, ""communication_match"": true, ""availability_match"": true}",94.73356145607902,91.86950849233787,720.9859343380928,344.07,325.95,15167.782336473465
GA,Language & Mentoring (10 constraints),10,"{""max_mentees_per_mentor"": 2, ""min_similarities"": 2, ""industry_match"": true, ""min_experience_gap"": 2, ""education_level"": true, ""communication_match"": true, ""availability_match"": true, ""language_match"": true, ""secondary_language_match"": true, ""mentoring_preferences_match"": true}",93.91330004150747,91.54868183870607,683.6361803998947,412.258,386.172,14416.477282047272
