validity_percentage,valid_matches,total_matches,avg_similarity_score,execution_time,iteration
100.0,319,319,75.8789616583244,190.71701979637146,8
100.0,319,319,75.35780198676692,190.9721019268036,0
100.0,319,319,75.96817250666177,191.80159902572632,2
100.0,319,319,76.04647358589493,191.81770992279053,3
100.0,319,319,75.88806277664007,191.97693276405334,1
100.0,319,319,75.88964400092172,192.13561630249023,6
100.0,319,319,75.26235411672636,192.15144109725952,4
100.0,319,319,76.12858285927585,192.30984687805176,5
100.0,319,319,76.14814124481647,192.34178638458252,7
100.0,319,319,75.71568203170177,205.98101043701172,9
100.0,319,319,76.3528786093348,206.19492435455322,13
100.0,319,319,75.56273977168375,206.35484313964844,12
100.0,319,319,76.73505699066723,207.17060494422913,20
100.0,319,319,75.21083032142054,207.31427097320557,22
100.0,319,319,75.90705628036586,208.04414319992065,14
100.0,319,319,76.22977684569655,207.94980883598328,15
100.0,319,319,75.55378572594587,207.72861576080322,19
100.0,319,319,75.83857474395133,208.5376558303833,11
100.0,319,319,77.00942942689375,208.26872873306274,16
100.0,319,319,74.79487687507897,208.39645528793335,18
100.0,319,319,75.82668786821188,208.47571182250977,17
100.0,319,319,76.01502929876006,208.30152559280396,21
100.0,319,319,75.82711408327292,209.31696128845215,10
100.0,319,319,76.31383478153258,208.38108849525452,23
100.0,319,319,76.47408874362678,201.9078631401062,25
100.0,319,319,75.72990657833962,202.5142116546631,24
100.0,319,319,75.6790654283194,203.40678548812866,27
100.0,319,319,76.09523412246848,203.34792256355286,28
100.0,319,319,75.44625560719045,203.90129375457764,26
100.0,319,319,75.12020987850276,203.7001829147339,30
100.0,319,319,76.21499558132963,203.7637014389038,29
100.0,319,319,76.55507644607285,203.84431266784668,32
100.0,319,319,75.83765640251974,203.92404675483704,31
100.0,319,319,75.03069985711214,201.98750114440918,33
100.0,319,319,75.95953554056779,202.81771421432495,34
100.0,319,319,75.80930820843032,205.5203185081482,35
100.0,319,319,76.68515042606808,205.35078406333923,36
100.0,319,319,75.71602423535955,205.94358372688293,40
100.0,319,319,76.5479481133285,206.56604027748108,37
100.0,319,319,76.26606543493656,206.5499312877655,38
100.0,319,319,76.1266928827493,206.5662181377411,39
100.0,319,319,75.71773993490281,207.01614356040955,41
100.0,319,319,75.807862225564,206.85750269889832,42
100.0,319,319,76.23837714639139,206.635808467865,45
100.0,319,319,75.62903383969476,206.82655239105225,43
100.0,319,319,75.99421792058517,207.05018973350525,44
100.0,319,319,76.20541531269087,207.0991816520691,47
100.0,319,319,76.33597773177553,207.5137939453125,46
100.0,319,319,76.61797125887568,201.832590341568,48
100.0,319,319,76.40515742367641,201.54505801200867,49
100.0,319,319,76.31201854946207,203.42839455604553,50
100.0,319,319,76.02932044744404,203.50813937187195,51
100.0,319,319,76.64307554964498,203.06132078170776,53
100.0,319,319,75.87698328383283,203.3482096195221,52
100.0,319,319,76.10364216927141,203.34794116020203,54
100.0,319,319,76.10457526242541,203.4763627052307,56
100.0,319,319,75.70753961154134,203.65190815925598,55
100.0,319,319,75.2278279695136,197.54019284248352,57
100.0,319,319,76.25252162551986,199.85953831672668,58
100.0,319,319,75.4932023613166,202.64647579193115,59
100.0,319,319,76.55827303234068,203.35216736793518,60
100.0,319,319,76.3445506940831,204.63156580924988,61
100.0,319,319,75.00297404681545,205.42980527877808,62
100.0,319,319,75.40514671263846,205.30126094818115,64
100.0,319,319,75.89957563432507,205.65331983566284,63
100.0,319,319,75.68933989766388,205.2348005771637,66
100.0,319,319,76.53350568855892,205.6014425754547,65
100.0,319,319,76.15390076596115,205.52143263816833,68
100.0,319,319,75.83066182261777,205.7933382987976,67
100.0,319,319,76.05810999289166,205.21876001358032,70
100.0,319,319,76.19385665620037,205.55383372306824,69
100.0,319,319,76.2989938131599,205.7104730606079,71
100.0,319,319,75.77432118809756,199.67044401168823,73
100.0,319,319,75.58380524787424,199.7503423690796,72
100.0,319,319,75.65254456359686,201.83111834526062,74
100.0,319,319,75.31108792581101,201.703111410141,76
100.0,319,319,76.33340715998345,202.03830337524414,75
100.0,319,319,75.95326406193014,201.75142097473145,78
100.0,319,319,76.54569791139807,202.0219464302063,77
100.0,319,319,75.85165426626972,202.1477632522583,79
100.0,319,319,76.02544340372569,202.38606882095337,80
100.0,319,319,75.83465877002725,197.7599754333496,81
100.0,319,319,76.07684116451806,197.76771879196167,82
