validity_percentage,valid_matches,total_matches,avg_similarity_score,execution_time,iteration
0,0,0,0,126.74574875831604,15
0,0,0,0,126.96299624443054,6
0,0,0,0,127.12324357032776,3
0,0,0,0,127.01152753829956,17
0,0,0,0,127.26324319839478,0
0,0,0,0,127.09086680412292,18
0,0,0,0,127.27212357521057,8
0,0,0,0,127.39091181755066,1
0,0,0,0,127.39925718307495,9
0,0,0,0,127.48589253425598,2
0,0,0,0,127.57012367248535,10
0,0,0,0,127.53866839408875,14
0,0,0,0,127.74804949760437,7
0,0,0,0,127.75583291053772,4
0,0,0,0,127.71986722946167,12
0,0,0,0,127.69326686859131,13
0,0,0,0,127.74225282669067,20
0,0,0,0,127.77291011810303,23
0,0,0,0,127.91895699501038,11
0,0,0,0,127.95904779434204,19
0,0,0,0,127.96325540542603,21
0,0,0,0,128.16837453842163,5
0,0,0,0,128.0443251132965,16
0,0,0,0,128.58215022087097,22
0,0,0,0,126.90719962120056,24
0,0,0,0,127.27125525474548,25
0,0,0,0,127.11266994476318,29
0,0,0,0,127.27110028266907,27
0,0,0,0,127.36605262756348,30
0,0,0,0,127.68270230293274,26
0,0,0,0,127.54007196426392,31
0,0,0,0,127.36545825004578,35
0,0,0,0,127.71445083618164,32
0,0,0,0,128.04715037345886,28
0,0,0,0,127.66584992408752,41
0,0,0,0,128.15768361091614,33
0,0,0,0,127.85606575012207,36
0,0,0,0,127.50717067718506,44
0,0,0,0,128.20455169677734,37
0,0,0,0,128.20454478263855,38
0,0,0,0,128.39504671096802,34
0,0,0,0,128.28366875648499,40
0,0,0,0,128.09328198432922,43
0,0,0,0,128.02926468849182,46
0,0,0,0,128.29951310157776,42
0,0,0,0,128.2355616092682,45
0,0,0,0,128.6481580734253,39
0,0,0,0,128.51959490776062,47
0,0,0,0,126.91561436653137,48
0,0,0,0,126.97905421257019,49
0,0,0,0,126.96335935592651,51
0,0,0,0,127.10574412345886,50
0,0,0,0,127.2167284488678,52
0,0,0,0,127.4862790107727,53
0,0,0,0,127.50215578079224,54
0,0,0,0,127.4701931476593,55
0,0,0,0,127.39166951179504,57
0,0,0,0,127.86744427680969,56
0,0,0,0,127.50331449508667,60
0,0,0,0,127.69327354431152,59
0,0,0,0,127.69329476356506,61
0,0,0,0,127.74072933197021,58
0,0,0,0,127.45568442344666,62
0,0,0,0,127.83536195755005,64
0,0,0,0,128.04209399223328,63
0,0,0,0,127.78851890563965,68
0,0,0,0,127.88358449935913,65
0,0,0,0,127.88360142707825,66
0,0,0,0,127.64593863487244,70
0,0,0,0,128.0420205593109,67
0,0,0,0,128.20005989074707,69
0,0,0,0,128.43782806396484,71
0,0,0,0,126.89657831192017,72
0,0,0,0,127.18093490600586,73
0,0,0,0,127.08599519729614,75
0,0,0,0,127.56058168411255,76
0,0,0,0,127.48093914985657,77
0,0,0,0,127.30659198760986,79
0,0,0,0,127.44921517372131,78
0,0,0,0,127.7812728881836,80
0,0,0,0,127.6062388420105,81
0,0,0,0,129.30230045318604,74
0,0,0,0,127.60636568069458,82
0,0,0,0,127.46379375457764,85
0,0,0,0,127.55886220932007,84
0,0,0,0,127.8285961151123,83
0,0,0,0,127.81275129318237,86
0,0,0,0,127.76497054100037,87
0,0,0,0,127.89109921455383,88
0,0,0,0,127.91562795639038,91
0,0,0,0,127.98694276809692,92
0,0,0,0,128.19264912605286,89
0,0,0,0,128.240065574646,93
0,0,0,0,128.47801661491394,90
0,0,0,0,128.08232378959656,94
0,0,0,0,128.16184949874878,95
0,0,0,0,128.23156261444092,96
0,0,0,0,128.3900933265686,98
0,0,0,0,128.54842162132263,97
0,0,0,0,128.2637424468994,99
0,0,0,0,128.59658885002136,101
0,0,0,0,128.56482934951782,102
0,0,0,0,128.64418244361877,100
0,0,0,0,128.53304624557495,103
0,0,0,0,128.3273732662201,105
0,0,0,0,128.64401721954346,104
0,0,0,0,128.5967152118683,108
0,0,0,0,128.8342833518982,106
0,0,0,0,129.02432799339294,107
0,0,0,0,129.08727502822876,109
0,0,0,0,128.96057415008545,110
0,0,0,0,128.35824179649353,114
0,0,0,0,129.19779467582703,111
0,0,0,0,129.05520153045654,113
0,0,0,0,129.13473415374756,112
0,0,0,0,129.21350502967834,115
0,0,0,0,128.99184203147888,116
0,0,0,0,129.05485844612122,117
0,0,0,0,129.46683478355408,118
0,0,0,0,129.26092338562012,119
0,0,0,0,127.04316139221191,120
0,0,0,0,127.08663702011108,121
0,0,0,0,127.07076621055603,122
0,0,0,0,127.56168866157532,123
0,0,0,0,127.18130588531494,125
0,0,0,0,127.3712248802185,124
0,0,0,0,127.51408553123474,126
0,0,0,0,127.26078963279724,128
0,0,0,0,127.71998572349548,127
0,0,0,0,127.49807572364807,129
0,0,0,0,127.5616238117218,130
0,0,0,0,127.57813668251038,131
0,0,0,0,127.50065088272095,132
0,0,0,0,127.23110461235046,135
0,0,0,0,127.61550116539001,134
0,0,0,0,128.02362966537476,133
0,0,0,0,127.6597728729248,137
0,0,0,0,127.96082329750061,136
0,0,0,0,127.88152885437012,138
0,0,0,0,127.72357249259949,140
0,0,0,0,127.92916202545166,141
0,0,0,0,128.10335993766785,139
0,0,0,0,128.22988438606262,142
0,0,0,0,128.3873326778412,143
0,0,0,0,126.93250250816345,144
0,0,0,0,126.93300104141235,145
0,0,0,0,127.10715866088867,146
0,0,0,0,127.34388875961304,147
0,0,0,0,127.26519632339478,148
0,0,0,0,127.13407444953918,149
0,0,0,0,127.24923944473267,150
0,0,0,0,127.15408635139465,151
0,0,0,0,127.40759325027466,153
0,0,0,0,127.54993271827698,152
0,0,0,0,127.29630303382874,154
0,0,0,0,127.4220073223114,155
0,0,0,0,127.51527714729309,156
0,0,0,0,127.18297290802002,157
0,0,0,0,127.65748858451843,158
0,0,0,0,127.84667444229126,159
0,0,0,0,127.40327787399292,160
0,0,0,0,127.87812638282776,161
0,0,0,0,127.86221504211426,162
0,0,0,0,127.67154836654663,163
0,0,0,0,127.54569220542908,164
0,0,0,0,128.02048087120056,165
0,0,0,0,127.92552757263184,166
0,0,0,0,128.08390045166016,167
0,0,0,0,126.99801778793335,168
0,0,0,0,126.965487241745,169
0,0,0,0,127.4876549243927,170
0,0,0,0,127.66217160224915,171
0,0,0,0,127.41897630691528,172
0,0,0,0,127.39250779151917,173
0,0,0,0,127.74066352844238,174
0,0,0,0,127.4560329914093,176
0,0,0,0,127.55101799964905,177
0,0,0,0,127.45607256889343,178
0,0,0,0,127.70988273620605,179
0,0,0,0,127.42496967315674,181
0,0,0,0,129.02364540100098,175
0,0,0,0,127.88387989997864,180
0,0,0,0,127.7422046661377,182
0,0,0,0,127.74191999435425,184
0,0,0,0,128.15415024757385,183
0,0,0,0,127.96429896354675,185
0,0,0,0,128.15419721603394,186
0,0,0,0,128.09569120407104,187
0,0,0,0,128.28036451339722,188
0,0,0,0,128.4869384765625,189
0,0,0,0,128.20132875442505,190
0,0,0,0,128.31236004829407,191
0,0,0,0,126.64814305305481,192
0,0,0,0,126.74369716644287,193
0,0,0,0,127.20337581634521,194
0,0,0,0,127.20506739616394,197
0,0,0,0,127.23671913146973,196
0,0,0,0,127.44253635406494,195
0,0,0,0,127.1896460056305,198
0,0,0,0,127.25276565551758,200
0,0,0,0,127.39515447616577,199
0,0,0,0,127.22119855880737,201
0,0,0,0,127.12615418434143,203
0,0,0,0,127.49013876914978,202
0,0,0,0,127.45890378952026,205
0,0,0,0,127.64795231819153,206
0,0,0,0,128.6144278049469,204
0,0,0,0,127.66449904441833,207
0,0,0,0,127.91709852218628,208
0,0,0,0,127.64793419837952,209
0,0,0,0,127.66361093521118,211
0,0,0,0,127.75867033004761,210
0,0,0,0,127.66391801834106,212
0,0,0,0,127.66310000419617,213
0,0,0,0,128.3755488395691,214
0,0,0,0,127.85260200500488,215
0,0,0,0,126.82278037071228,216
0,0,0,0,126.79080629348755,217
0,0,0,0,126.88549256324768,218
0,0,0,0,127.0899167060852,219
0,0,0,0,127.10575079917908,220
0,0,0,0,127.16902804374695,221
0,0,0,0,127.43800520896912,222
0,0,0,0,127.02650666236877,225
0,0,0,0,127.34323692321777,223
0,0,0,0,127.39078521728516,224
0,0,0,0,127.31108617782593,226
0,0,0,0,127.58073210716248,227
0,0,0,0,127.29586291313171,228
0,0,0,0,126.88531017303467,230
0,0,0,0,127.50258159637451,229
0,0,0,0,127.53429079055786,231
0,0,0,0,127.47105121612549,233
0,0,0,0,127.78790473937988,232
0,0,0,0,127.59786415100098,234
0,0,0,0,127.70868420600891,235
0,0,0,0,127.67677688598633,236
0,0,0,0,127.83504486083984,237
0,0,0,0,128.23173761367798,238
0,0,0,0,128.10570788383484,239
0,0,0,0,126.7243070602417,240
0,0,0,0,126.85101985931396,241
0,0,0,0,126.77229166030884,242
0,0,0,0,127.11992454528809,243
0,0,0,0,127.23087239265442,245
0,0,0,0,127.5157790184021,244
0,0,0,0,127.54677867889404,246
0,0,0,0,127.1034095287323,247
0,0,0,0,127.43531036376953,249
0,0,0,0,127.53036785125732,248
