validity_percentage,valid_matches,total_matches,avg_similarity_score,execution_time,iteration
100.0,532,532,93.30684736401032,1924.3037946224213,0
100.0,539,539,93.3855472748615,1948.7433910369873,1
100.0,543,543,93.49193219780238,1898.9822311401367,2
100.0,524,524,93.52887307168889,1889.3808574676514,3
100.0,529,529,93.4302400786191,1924.4615442752838,4
100.0,521,521,93.47051491336029,1894.1502273082733,5
100.0,517,517,93.4745561191784,1893.4342296123505,6
100.0,534,534,93.40572536655178,1929.5768597126007,7
100.0,538,538,93.39868455652869,1971.9734048843384,8
100.0,499,499,93.4677963439029,1896.673434495926,9
100.0,516,516,93.51049612293319,1884.402182340622,10
100.0,515,515,93.50049186260134,1868.1960091590881,11
100.0,529,529,93.38307030874583,1921.4820351600647,12
100.0,524,524,93.38788481921192,1892.6362476348877,13
100.0,541,541,93.38969187669332,1937.382685661316,14
100.0,531,531,93.44056132277025,1900.9403455257416,15
100.0,537,537,93.32702643676507,1900.8863484859467,16
100.0,535,535,93.42846073308093,1915.271517753601,17
100.0,502,502,93.41897377953063,1890.2137496471405,18
100.0,542,542,93.28276547599417,1953.7441489696503,19
100.0,505,505,93.44964903194374,1448.0645554065704,20
100.0,508,508,93.41425894470763,1889.9049708843231,0
100.0,545,545,93.3860354446041,1928.5007779598236,1
100.0,509,509,93.4363630430325,1907.7427232265472,2
100.0,509,509,93.400603816232,1872.8995199203491,3
100.0,521,521,93.445067600845,1917.853098154068,4
100.0,544,544,93.3802517403745,1929.0612115859985,5
100.0,528,528,93.41250899653765,1908.3444516658783,6
100.0,529,529,93.46231878508796,1925.979500055313,7
100.0,502,502,93.44897056282984,1879.2990782260895,8
100.0,535,535,93.44308009286546,1923.4137785434723,9
100.0,544,544,93.42248160236956,1940.620780467987,10
100.0,529,529,93.41459230695041,1921.78688621521,11
100.0,519,519,93.39015274307948,1892.188351392746,12
100.0,525,525,93.43619762661652,1896.1850006580353,13
100.0,538,538,93.45360265585926,1952.8117434978485,14
100.0,531,531,93.29616354800291,1918.39639544487,15
100.0,506,506,93.43110462578382,1892.351933002472,16
100.0,545,545,93.42710710931343,1952.3875243663788,17
100.0,534,534,93.42902371487757,1930.8286850452423,18
100.0,516,516,93.49617971525483,1867.7743866443634,19
100.0,534,534,93.46685322705058,1442.3512258529663,20
100.0,528,528,93.46287798276992,1920.5269045829773,0
100.0,521,521,93.41895604597778,1920.27303981781,1
