validity_percentage,valid_matches,total_matches,avg_similarity_score,execution_time,iteration
0,0,0,0,160.7612578868866,14
0,0,0,0,162.42410230636597,6
0,0,0,0,162.63498520851135,0
0,0,0,0,162.8981294631958,10
0,0,0,0,163.16944980621338,17
0,0,0,0,163.31135392189026,11
0,0,0,0,163.359637260437,15
0,0,0,0,163.51473546028137,5
0,0,0,0,164.1264204978943,1
0,0,0,0,164.4874255657196,8
0,0,0,0,164.58520889282227,9
0,0,0,0,164.5995581150055,13
0,0,0,0,164.8892879486084,3
0,0,0,0,164.9810152053833,16
0,0,0,0,165.5823621749878,4
0,0,0,0,166.193993806839,2
0,0,0,0,166.195303440094,18
0,0,0,0,166.42855548858643,7
0,0,0,0,166.46534514427185,21
0,0,0,0,166.62411332130432,20
0,0,0,0,167.1007854938507,19
0,0,0,0,167.49617385864258,22
0,0,0,0,167.65270495414734,12
0,0,0,0,167.7187361717224,23
0,0,0,0,161.99461722373962,25
0,0,0,0,162.63038206100464,27
0,0,0,0,161.51792860031128,34
0,0,0,0,162.67871928215027,30
0,0,0,0,163.69534754753113,26
0,0,0,0,163.22923016548157,29
0,0,0,0,166.11101508140564,24
0,0,0,0,164.15855407714844,31
0,0,0,0,165.7157497406006,28
0,0,0,0,164.3969783782959,37
0,0,0,0,164.96873426437378,35
0,0,0,0,166.01790070533752,32
0,0,0,0,165.95520281791687,33
0,0,0,0,163.39553952217102,44
0,0,0,0,165.52603578567505,38
0,0,0,0,166.2581822872162,36
0,0,0,0,164.26985430717468,45
0,0,0,0,165.7157597541809,41
0,0,0,0,165.19152641296387,46
0,0,0,0,166.17687153816223,43
0,0,0,0,166.6533420085907,40
0,0,0,0,166.9086434841156,42
0,0,0,0,165.66912317276,47
0,0,0,0,167.76733684539795,39
0,0,0,0,165.15307641029358,48
0,0,0,0,164.34256529808044,49
0,0,0,0,164.21639919281006,51
0,0,0,0,163.51674795150757,54
0,0,0,0,164.3754117488861,50
0,0,0,0,164.5821623802185,52
0,0,0,0,164.5645353794098,55
0,0,0,0,166.34710431098938,53
0,0,0,0,165.05768823623657,56
0,0,0,0,164.70804572105408,57
0,0,0,0,163.72177743911743,63
0,0,0,0,165.3601188659668,59
0,0,0,0,165.26348042488098,60
0,0,0,0,166.36112427711487,58
0,0,0,0,165.23092317581177,62
0,0,0,0,163.46713876724243,67
0,0,0,0,164.89723420143127,64
0,0,0,0,166.42359828948975,61
0,0,0,0,163.6408178806305,70
0,0,0,0,165.59672355651855,65
0,0,0,0,164.83422231674194,68
