User_ID,Position,Experience_Level,Expertise,Primary_Language,Secondary_Languages,Gender,Industry,Education,Years_of_Experience,Availability,Location,Mentoring_Preferences,Communication_Methods
Mentee_1,DevOps Engineer,Entry,"['Terraform', 'AWS', 'Kubernetes']",Go,"['PowerShell', 'Groovy', 'Ruby']",Prefer not to say,Mobile Development,High School,1,Freelance,New Annton,Career Guidance,Video Calls
Mentee_2,Cryptography Engineer,Junior,['Blockchain'],C,"['Java', 'Rust', 'Swift']",Female,Web Development,Masters,3,Full-time,Thomasville,Technical Skills,Chat
Mentee_3,IT Consultant,Entry,"['Technology Strategy', 'Risk Management']",None,[],Male,Telecommunications,Bachelors,1,Freelance,North Dylanchester,Career Guidance,Video Calls
Mentee_4,Digital Marketing Specialist,Mid,"['Analytics', 'PPC Advertising']",None,"['HTML', 'CSS', 'SQL']",Non-binary,Enterprise Software,PhD,5,Full-time,Ayalaland,Technical Skills,Video Calls
Mentee_5,Full-Stack Developer,Mid,['React'],JavaScript,"['CSS', 'HTML', 'GraphQL']",Prefer not to say,Manufacturing,PhD,7,Part-time,Cruzhaven,Technical Skills,Video Calls
Mentee_6,IT Consultant,Mid,"['Technology Strategy', 'Change Management']",None,[],Male,Biotechnology,High School,5,Part-time,Smithmouth,Technical Skills,Email
Mentee_7,DevOps Engineer,Junior,['AWS'],Python,"['Groovy', 'Perl', 'Bash']",Male,Gaming,PhD,3,Freelance,South Kimberly,Project Collaboration,Email
Mentee_8,Web Designer,Entry,"['SEO Optimization', 'Graphic Design']",CSS,"['Ruby', 'PHP', 'JavaScript']",Female,Telecommunications,Bachelors,0,Part-time,Lake Gregorymouth,Career Guidance,Chat
Mentee_9,IoT Developer,Entry,"['Sensor Integration', 'Cloud Computing']",Python,"['C++', 'Rust', 'Go']",Non-binary,Gaming,Bachelors,0,Freelance,Annashire,Career Guidance,Email
Mentee_10,Cybersecurity Specialist,Entry,"['Security Auditing', 'Cryptography', 'Penetration Testing']",C++,"['Java', 'Perl', 'Rust']",Female,Energy,Masters,1,Part-time,Robertsfurt,Technical Skills,Chat
Mentee_11,IoT Developer,Mid,['Data Analysis'],Python,"['Go', 'JavaScript', 'Rust']",Female,Automotive,Bachelors,4,Freelance,Smithfort,Project Collaboration,Chat
Mentee_12,Data Scientist,Entry,"['NumPy', 'TensorFlow']",Python,"['Scala', 'SQL', 'Julia']",Non-binary,Transportation,PhD,1,Full-time,North Dylanchester,Project Collaboration,Video Calls
Mentee_13,Data Engineer,Junior,"['Big Data Technologies', 'Hadoop']",SQL,"['Scala', 'Go', 'Java']",Prefer not to say,Mobile Development,PhD,2,Full-time,South Edward,Technical Skills,Video Calls
Mentee_14,Network Engineer,Junior,"['Network Configuration', 'Routing Protocols', 'Network Security']",None,[],Prefer not to say,Web Development,Masters,3,Freelance,North Joseph,Career Guidance,Email
Mentee_15,Data Analyst,Junior,"['Reporting', 'Statistical Analysis']",SQL,"['Tableau', 'Excel', 'JavaScript']",Female,Biotechnology,Bachelors,3,Part-time,Andrewfurt,Technical Skills,Chat
Mentee_16,Digital Marketing Specialist,Mid,"['Social Media Marketing', 'Content Marketing']",None,"['CSS', 'Python', 'JavaScript']",Prefer not to say,Cloud Computing,Bachelors,5,Part-time,Floresburgh,Project Collaboration,Chat
Mentee_17,AR/VR Content Creator,Mid,"['3D Modeling', 'Interactive Design', 'Animation']",C++,"['CSS', 'HTML5', 'Java']",Male,Gaming,PhD,7,Part-time,West Samanthaport,Career Guidance,Chat
Mentee_18,Front-End Developer,Junior,['Angular'],TypeScript,"['HTML', 'Less', 'CSS']",Non-binary,Mobile Development,High School,3,Part-time,Kerrton,Technical Skills,Video Calls
