User_ID,Position,Experience_Level,Expertise,Primary_Language,Secondary_Languages,Gender,Industry,Education,Years_of_Experience,Availability,Location,Mentoring_Preferences,Communication_Methods
Mentor_1,Cloud Engineer,Senior,['AWS'],Python,"['Scala', 'PHP', 'Ruby']",Male,Manufacturing,High School,12,Full-time,Annashire,Career Guidance,Email
Mentor_2,E-commerce Specialist,Mid,"['Digital Marketing', 'Content Management', 'SEO Optimization']",HTML,"['SQL', 'PHP', 'Python']",Male,Gaming,PhD,6,Part-time,Ayalaland,Career Guidance,Email
Mentor_3,AR/VR Developer,Lead,"['Augmented Reality', 'Simulation']",C#,"['Unity', 'HTML5', 'CSS']",Male,Retail,High School,20,Freelance,Rachelmouth,Project Collaboration,Chat
Mentor_4,Robotics Engineer,Lead,['Machine Learning'],C,"['C++', 'Rust', 'MATLAB']",Male,Retail,Masters,16,Part-time,West Jacob,Technical Skills,Email
Mentor_5,Robotics Engineer,Senior,"['Robot Kinematics', 'Control Systems', 'Machine Learning']",Python,"['Java', 'MATLAB', 'JavaScript']",Prefer not to say,Retail,Masters,9,Freelance,New Annton,Project Collaboration,Email
Mentor_6,Blockchain Developer,Mid,"['Cryptography', 'Smart Contracts']",Solidity,"['Go', 'Python', 'Java']",Female,Transportation,PhD,6,Freelance,Robertshire,Career Guidance,Video Calls
Mentor_7,Cybersecurity Specialist,Mid,"['Security Auditing', 'Incident Response', 'Penetration Testing']",Python,"['Rust', 'Go', 'Perl']",Prefer not to say,Mobile Development,High School,5,Full-time,Jennifertown,Project Collaboration,Email
Mentor_8,Game Designer,Lead,"['Game Balancing', 'Gameplay Mechanics']",None,"['Python', 'HTML5', 'JavaScript']",Male,Automotive,Masters,13,Full-time,Rachelmouth,Technical Skills,Email
Mentor_9,Quality Assurance Engineer,Lead,['Performance Testing'],None,"['JavaScript', 'Python', 'C#']",Female,Government,Bachelors,16,Freelance,North Amanda,Project Collaboration,Email
Mentor_10,Blockchain Developer,Mid,"['Decentralized Applications', 'Smart Contracts']",JavaScript,"['Python', 'Java', 'Go']",Male,Transportation,High School,4,Freelance,Lake Autumn,Career Guidance,Email
Mentor_11,Data Analyst,Lead,"['Statistical Analysis', 'Data Mining', 'Dashboard Creation']",SQL,"['Excel', 'Tableau', 'R']",Prefer not to say,Energy,High School,18,Full-time,Bretthaven,Career Guidance,Video Calls
Mentor_12,Back-End Developer,Mid,['Django'],Ruby,"['Perl', 'PHP', 'Go']",Female,Mobile Development,High School,4,Part-time,North Annaville,Project Collaboration,Email
Mentor_13,Web Designer,Senior,"['Wireframing', 'SEO Optimization', 'UI/UX Design']",CSS,"['PHP', 'TypeScript', 'Python']",Female,Cloud Computing,High School,11,Freelance,Smithborough,Technical Skills,Video Calls
Mentor_14,IoT Developer,Mid,"['Networking Protocols', 'Embedded Systems']",Python,"['Java', 'Go', 'Rust']",Prefer not to say,Cybersecurity,PhD,5,Full-time,Ayalaland,Technical Skills,Email
Mentor_15,Data Scientist,Lead,"['Scikit-learn', 'Machine Learning', 'NumPy']",R,"['MATLAB', 'SQL', 'Julia']",Female,Manufacturing,PhD,16,Part-time,North Joseph,Technical Skills,Email
Mentor_16,Game Developer,Senior,"['Game Design', 'AI in Games']",C++,"['Java', 'HTML5', 'Python']",Prefer not to say,Cybersecurity,Bachelors,12,Part-time,North Joseph,Career Guidance,Chat
Mentor_17,Cryptography Engineer,Lead,"['Blockchain', 'Security Protocols', 'Encryption Algorithms']",C,"['C++', 'Java', 'Rust']",Female,Mobile Development,High School,14,Freelance,Andersonshire,Technical Skills,Email
Mentor_18,Network Engineer,Senior,"['Network Configuration', 'Routing Protocols', 'VPN']",None,[],Non-binary,Automotive,Bachelors,12,Freelance,Floresburgh,Technical Skills,Email
Mentor_19,Database Administrator,Mid,"['Database Design', 'Security Management']",PL/SQL,"['PostgreSQL', 'MongoDB', 'SQLite']",Male,Enterprise Software,Masters,4,Full-time,Cruzhaven,Career Guidance,Email
Mentor_20,Robotics Engineer,Lead,"['Machine Learning', 'Robot Kinematics', 'Embedded Systems']",Python,"['Java', 'JavaScript', 'MATLAB']",Male,Cybersecurity,Masters,17,Full-time,West Christinamouth,Project Collaboration,Chat
Mentor_21,Machine Learning Engineer,Senior,"['PyTorch', 'Scikit-learn']",R,"['Scala', 'C++', 'Swift']",Male,Mobile Development,PhD,10,Part-time,New Wyatt,Career Guidance,Video Calls
Mentor_22,Cybersecurity Specialist,Mid,"['Security Auditing', 'Network Security', 'Incident Response']",C++,"['Ruby', 'Perl', 'Go']",Male,Government,Bachelors,5,Part-time,New Jessica,Career Guidance,Video Calls
Mentor_23,Robotics Engineer,Mid,['Robot Kinematics'],C,"['MATLAB', 'Java', 'Rust']",Female,Telecommunications,Bachelors,7,Full-time,Lake Crystalberg,Career Guidance,Email
Mentor_24,AR/VR Developer,Lead,"['3D Modeling', 'Game Development', 'Simulation']",C++,"['JavaScript', 'Python', 'Unity']",Female,Energy,Masters,16,Part-time,South Kimberly,Career Guidance,Email
Mentor_25,Business Analyst,Senior,"['Requirements Gathering', 'Stakeholder Management']",Python,"['Java', 'C#', 'R']",Non-binary,Web Development,High School,12,Part-time,Nguyenview,Project Collaboration,Video Calls
